Province,Ratio,ECP,TTS,tts2,PGDP,pdgp2,Government,Trade,Hc,year,lng,lat
安徽,0.06,0.009373169,258.26,0.25826,9193,0.9193,0.125629416,1.002588014,7.038595091,2005,117.27,31.86
北京,0.29346004,0.03858393,372.37,0.37237,47182,4.7182,0.148019525,10.95376993,10.68579576,2005,116.46,39.92
福建,0.07117053,0.009266614,493.81,0.49381,18107,1.8107,0.092443301,5.29235832,7.542981633,2005,119.3,26.08
甘肃,0.064435978,0.011363636,129.44,0.12944,7332,0.7332,0.230263864,0.880251678,6.860003937,2005,103.73,36.03
广东,0.082723852,0.016853256,2069.43,2.06943,23997,2.3997,0.104223922,12.15928694,8.364960424,2005,113.23,23.16
广西,0.079729291,0.013034033,312.06,0.31206,8069,0.8069,0.163405574,0.864036319,7.659452627,2005,108.33,22.84
贵州,0.04358302,0.007901235,165.2,0.1652,5218,0.5218,0.268431362,0.451488718,6.418152299,2005,106.71,26.57
海南,0.068486201,0.012064343,70.88,0.07088,10753,1.0753,0.170911967,1.792795045,8.108647603,2005,110.35,20.02
河北,0.082338525,0.009512244,498.36,0.49836,12845,1.2845,0.111605535,1.143007383,8.169493428,2005,114.48,38.03
河南,0.084828682,0.006897543,517.6,0.5176,10978,1.0978,0.108951042,0.47058389,7.98551266,2005,113.65,34.76
黑龙江,0.127934685,0.008099565,314.63,0.31463,12456,1.2456,0.165627365,1.255001738,8.45998167,2005,126.63,45.75
湖北,0.095617436,0.00882526,347.31,0.34731,11342,1.1342,0.120364159,0.873341236,7.822280993,2005,114.31,30.52
湖南,0.057004765,0.010670732,344.36,0.34436,10200,1.02,0.137116752,0.587792263,7.990917261,2005,113,28.21
吉林,0.073156042,0.010884831,246.39,0.24639,10237,1.0237,0.227307762,1.467086054,8.468291542,2005,125.35,43.88
江苏,0.040407725,0.010711931,670.94,0.67094,23984,2.3984,0.092344368,7.848558476,8.13395447,2005,118.78,32.04
江西,0.061655613,0.010685335,241.84,0.24184,9172,0.9172,0.143090937,0.643548866,7.531329865,2005,115.89,28.68
辽宁,0.079037032,0.010147234,420.25,0.42025,17210,1.721,0.165871529,3.524775162,8.746091776,2005,123.38,41.8
内蒙古,0.065972029,0.010283834,188.23,0.18823,14695,1.4695,0.193512501,0.863533008,8.223355986,2005,111.65,40.82
宁夏,0.053920789,0.008278146,44.54,0.04454,9796,0.9796,0.276340748,1.040096295,7.374940793,2005,106.27,38.47
青海,0.079603485,0.018823529,30.3,0.0303,9233,0.9233,0.339907889,0.516435124,6.758106405,2005,101.74,36.56
山东,0.077241601,0.007322308,667.01,0.66701,17308,1.7308,0.091941057,3.002599247,7.721856794,2005,117,36.65
山西,0.099480694,0.011325967,256.79,0.25679,12195,1.2195,0.163933422,0.848297342,8.417131018,2005,112.53,37.87
陕西,0.117309458,0.010554885,307.13,0.30713,10357,1.0357,0.16738971,0.748195379,8.062368298,2005,108.95,34.27
上海,0.120068045,0.012684989,371.18,0.37118,49377,4.9377,0.178997728,12.64267953,10.0257261,2005,121.48,31.22
四川,0.096698379,0.01019796,436.59,0.43659,8828,0.8828,0.150388416,0.68523806,6.837249004,2005,104.06,30.67
天津,0.140968325,0.012377514,163.25,0.16325,30567,3.0567,0.139973406,10.52531453,9.512898561,2005,117.2,39.13
西藏,0.086805556,0.017142857,15.29,0.01529,8733,0.8733,0.762854792,0.527412944,3.738414412,2005,91.11,29.97
新疆,0.104264258,0.009034908,164.33,0.16433,12687,1.2687,0.20591946,1.965857287,8.20328553,2005,87.68,43.77
云南,0.089059185,0.011793412,253.58,0.25358,7890,0.789,0.219089688,0.846257432,6.377819318,2005,102.73,25.04
浙江,0.058400199,0.010731494,798.95,0.79895,26277,2.6277,0.097137002,5.143588898,7.613714694,2005,120.19,30.26
重庆,0.10064428,0.011235955,199.56,0.19956,12335,1.2335,0.141326412,0.776817172,7.391844695,2005,106.54,29.59
安徽,0.047298248,0.0101904,841.62,0.84162,21923,2.1923,0.195294269,0.124015903,7.621315327,2010,117.27,31.86
北京,0.268250488,0.064491185,1120,1.12,78307,7.8307,0.181590484,1.364945215,11.17256699,2010,116.46,39.92
福建,0.06433527,0.009071189,1145.33,1.14533,40773,4.0773,0.112987169,0.490857174,8.346369465,2010,119.3,26.08
